"i","Date","Not Solved","Solved"
"74",2003-03-15,306,166
"75",2003-03-16,267,125
"76",2003-03-17,243,131
"77",2003-03-18,272,152
"78",2003-03-19,232,186
"79",2003-03-20,236,150
"80",2003-03-21,282,121
"81",2003-03-22,299,110
"82",2003-03-23,277,99
"83",2003-03-24,264,73
"84",2003-03-25,261,122
"85",2003-03-26,270,144
"86",2003-03-27,262,222
"87",2003-03-28,257,176
"88",2003-03-29,290,169
"89",2003-03-30,264,157
"90",2003-03-31,247,151
"91",2003-04-01,284,160
"92",2003-04-02,289,187
"93",2003-04-03,235,199
"94",2003-04-04,271,176
"95",2003-04-05,296,160
"96",2003-04-06,264,140
"97",2003-04-07,228,124
"98",2003-04-08,233,148
"99",2003-04-09,275,188
"100",2003-04-10,263,195
"101",2003-04-11,298,197
"102",2003-04-12,323,178
"103",2003-04-13,229,127
"104",2003-04-14,218,177
"105",2003-04-15,260,213
"106",2003-04-16,257,175
"107",2003-04-17,244,140
"108",2003-04-18,246,182
"109",2003-04-19,280,149
"110",2003-04-20,247,117
"111",2003-04-21,234,131
"112",2003-04-22,236,131
"113",2003-04-23,288,194
"114",2003-04-24,243,231
"115",2003-04-25,221,192
"116",2003-04-26,273,189
"117",2003-04-27,235,180
"118",2003-04-28,228,125
"119",2003-04-29,252,161
"120",2003-04-30,206,157
"121",2003-05-01,295,183
"122",2003-05-02,272,220
"123",2003-05-03,241,161
"124",2003-05-04,205,132
"125",2003-05-05,220,151
"126",2003-05-06,235,156
"127",2003-05-07,195,244
"128",2003-05-08,238,163
"129",2003-05-09,225,226
"130",2003-05-10,263,174
"131",2003-05-11,264,117
"132",2003-05-12,200,144
"133",2003-05-13,261,158
"134",2003-05-14,276,225
"135",2003-05-15,246,217
"136",2003-05-16,244,209
"137",2003-05-17,237,152
"138",2003-05-18,222,147
"139",2003-05-19,235,146
"140",2003-05-20,239,148
"141",2003-05-21,217,189
"142",2003-05-22,214,184
"143",2003-05-23,252,186
"144",2003-05-24,224,158
"145",2003-05-25,225,162
"146",2003-05-26,197,120
"147",2003-05-27,226,154
"148",2003-05-28,270,179
"149",2003-05-29,228,168
"150",2003-05-30,269,158
"151",2003-05-31,243,159
"152",2003-06-01,248,177
"153",2003-06-02,255,153
"154",2003-06-03,240,192
"155",2003-06-04,237,195
"156",2003-06-05,208,193
"157",2003-06-06,215,204
"158",2003-06-07,267,157
"159",2003-06-08,207,139
"160",2003-06-09,227,153
"161",2003-06-10,263,166
"162",2003-06-11,227,209
"163",2003-06-12,244,170
"164",2003-06-13,273,148
"165",2003-06-14,230,187
"166",2003-06-15,219,127
"167",2003-06-16,209,135
"168",2003-06-17,218,123
"169",2003-06-18,247,163
"170",2003-06-19,212,181
"171",2003-06-20,255,141
"172",2003-06-21,261,186
"173",2003-06-22,204,147
"174",2003-06-23,185,134
"175",2003-06-24,239,158
"176",2003-06-25,212,202
"177",2003-06-26,240,190
"178",2003-06-27,250,215
"179",2003-06-28,245,148
"180",2003-06-29,236,143
"181",2003-06-30,198,124
"182",2003-07-01,272,160
"183",2003-07-02,307,190
"184",2003-07-03,292,95
"185",2003-07-04,291,190
"186",2003-07-05,217,132
"187",2003-07-06,193,169
"188",2003-07-07,188,162
"189",2003-07-08,269,132
"190",2003-07-09,245,188
"191",2003-07-10,201,184
"192",2003-07-11,247,146
"193",2003-07-12,255,179
"194",2003-07-13,214,131
"195",2003-07-14,220,136
"196",2003-07-15,211,163
"197",2003-07-16,254,177
"198",2003-07-17,277,220
"199",2003-07-18,236,165
"200",2003-07-19,256,201
"201",2003-07-20,255,203
"202",2003-07-21,242,150
"203",2003-07-22,256,159
"204",2003-07-23,209,164
"205",2003-07-24,257,166
"206",2003-07-25,260,170
"207",2003-07-26,240,157
"208",2003-07-27,223,150
"209",2003-07-28,162,148
"210",2003-07-29,238,142
"211",2003-07-30,209,161
"212",2003-07-31,209,108
"213",2003-08-01,222,163
"214",2003-08-02,287,170
"215",2003-08-03,221,162
"216",2003-08-04,187,145
"217",2003-08-05,250,170
"218",2003-08-06,196,172
"219",2003-08-07,254,196
"220",2003-08-08,256,206
"221",2003-08-09,239,135
"222",2003-08-10,261,147
"223",2003-08-11,235,152
"224",2003-08-12,241,167
"225",2003-08-13,228,212
"226",2003-08-14,264,177
"227",2003-08-15,257,177
"228",2003-08-16,276,203
"229",2003-08-17,238,134
"230",2003-08-18,207,116
"231",2003-08-19,208,185
"232",2003-08-20,213,189
"233",2003-08-21,272,191
"234",2003-08-22,261,218
"235",2003-08-23,274,189
"236",2003-08-24,246,152
"237",2003-08-25,252,142
"238",2003-08-26,230,166
"239",2003-08-27,230,164
"240",2003-08-28,262,261
"241",2003-08-29,228,150
"242",2003-08-30,264,190
"243",2003-08-31,217,172
"244",2003-09-01,244,179
"245",2003-09-02,241,152
"246",2003-09-03,243,142
"247",2003-09-04,191,186
"248",2003-09-05,207,216
"249",2003-09-06,279,159
"250",2003-09-07,242,170
"251",2003-09-08,225,165
"252",2003-09-09,214,164
"253",2003-09-10,263,198
"254",2003-09-11,222,210
"255",2003-09-12,267,259
"256",2003-09-13,255,196
"257",2003-09-14,244,173
"258",2003-09-15,234,148
"259",2003-09-16,237,195
"260",2003-09-17,217,198
"261",2003-09-18,258,186
"262",2003-09-19,269,207
"263",2003-09-20,255,170
"264",2003-09-21,248,169
"265",2003-09-22,229,192
"266",2003-09-23,241,230
"267",2003-09-24,249,217
"268",2003-09-25,218,235
"269",2003-09-26,230,212
"270",2003-09-27,270,183
"271",2003-09-28,242,144
"272",2003-09-29,242,154
"273",2003-09-30,242,171
"274",2003-10-01,273,202
"275",2003-10-02,263,228
"276",2003-10-03,215,203
"277",2003-10-04,243,186
"278",2003-10-05,219,146
"279",2003-10-06,228,158
"280",2003-10-07,245,173
"281",2003-10-08,239,207
"282",2003-10-09,221,206
"283",2003-10-10,234,140
"284",2003-10-11,274,157
"285",2003-10-12,202,186
"286",2003-10-13,198,160
"287",2003-10-14,228,184
"288",2003-10-15,225,229
"289",2003-10-16,252,193
"290",2003-10-17,241,210
"291",2003-10-18,284,152
"292",2003-10-19,230,149
"293",2003-10-20,213,174
"294",2003-10-21,256,168
"295",2003-10-22,266,223
"296",2003-10-23,225,214
"297",2003-10-24,257,181
"298",2003-10-25,299,118
"299",2003-10-26,241,124
"300",2003-10-27,177,162
"301",2003-10-28,235,154
"302",2003-10-29,258,188
"303",2003-10-30,219,192
"304",2003-10-31,281,174
"305",2003-11-01,369,191
"306",2003-11-02,237,171
"307",2003-11-03,227,139
"308",2003-11-04,227,173
"309",2003-11-05,266,175
"310",2003-11-06,235,154
"311",2003-11-07,267,118
"312",2003-11-08,267,165
"313",2003-11-09,205,132
"314",2003-11-10,232,147
"315",2003-11-11,234,181
"316",2003-11-12,206,170
"317",2003-11-13,236,205
"318",2003-11-14,254,178
"319",2003-11-15,268,152
"320",2003-11-16,267,130
"321",2003-11-17,210,161
"322",2003-11-18,240,150
"323",2003-11-19,222,218
"324",2003-11-20,215,202
"325",2003-11-21,229,181
"326",2003-11-22,246,179
"327",2003-11-23,206,170
"328",2003-11-24,238,117
"329",2003-11-25,236,106
"330",2003-11-26,208,237
"331",2003-11-27,238,182
"332",2003-11-28,157,157
"333",2003-11-29,191,151
"334",2003-11-30,201,164
"335",2003-12-01,236,127
"336",2003-12-02,210,157
"337",2003-12-03,216,178
"338",2003-12-04,221,183
"339",2003-12-05,222,168
"340",2003-12-06,236,175
"341",2003-12-07,191,116
"342",2003-12-08,196,119
"343",2003-12-09,220,206
"344",2003-12-10,183,144
"345",2003-12-11,217,149
"346",2003-12-12,235,172
"347",2003-12-13,222,147
"348",2003-12-14,222,93
"349",2003-12-15,206,158
"350",2003-12-16,220,171
"351",2003-12-17,234,209
"352",2003-12-18,217,189
"353",2003-12-19,215,135
"354",2003-12-20,242,110
"355",2003-12-21,250,112
"356",2003-12-22,243,136
"357",2003-12-23,209,147
"358",2003-12-24,216,138
"359",2003-12-25,204,54
"360",2003-12-26,169,80
"361",2003-12-27,187,117
"362",2003-12-28,212,113
"363",2003-12-29,171,102
"364",2003-12-30,192,153
"365",2003-12-31,226,127
"366",2004-01-01,335,157
"367",2004-01-02,172,113
"368",2004-01-03,196,175
"369",2004-01-04,201,159
"370",2004-01-05,205,158
"371",2004-01-06,245,182
"372",2004-01-07,207,178
"373",2004-01-08,245,197
"374",2004-01-09,224,186
"375",2004-01-10,269,163
"376",2004-01-11,227,151
"377",2004-01-12,243,121
"378",2004-01-13,214,183
"379",2004-01-14,268,215
"380",2004-01-15,253,247
"381",2004-01-16,222,190
"382",2004-01-17,268,188
"383",2004-01-18,231,132
"384",2004-01-19,210,179
"385",2004-01-20,221,203
"386",2004-01-21,222,203
"387",2004-01-22,230,229
"388",2004-01-23,234,203
"389",2004-01-24,222,287
"390",2004-01-25,229,198
"391",2004-01-26,267,182
"392",2004-01-27,221,157
"393",2004-01-28,231,209
"394",2004-01-29,226,240
"395",2004-01-30,233,204
"396",2004-01-31,275,208
"397",2004-02-01,266,139
"398",2004-02-02,219,150
"399",2004-02-03,231,155
"400",2004-02-04,225,221
"401",2004-02-05,227,189
"402",2004-02-06,238,193
"403",2004-02-07,286,197
"404",2004-02-08,232,144
"405",2004-02-09,218,128
"406",2004-02-10,231,187
"407",2004-02-11,261,178
"408",2004-02-12,230,209
"409",2004-02-13,286,200
"410",2004-02-14,277,146
"411",2004-02-15,268,142
"412",2004-02-16,215,137
"413",2004-02-17,207,161
"414",2004-02-18,225,153
"415",2004-02-19,224,214
"416",2004-02-20,231,181
"417",2004-02-21,261,197
"418",2004-02-22,218,137
"419",2004-02-23,199,184
"420",2004-02-24,256,214
"421",2004-02-25,219,200
"422",2004-02-26,207,139
"423",2004-02-27,240,202
"424",2004-02-28,261,184
"425",2004-02-29,237,192
"426",2004-03-01,263,170
"427",2004-03-02,262,149
"428",2004-03-03,236,213
"429",2004-03-04,245,238
"430",2004-03-05,254,201
"431",2004-03-06,320,175
"432",2004-03-07,229,174
"433",2004-03-08,218,155
"434",2004-03-09,272,157
"435",2004-03-10,250,243
"436",2004-03-11,261,212
"437",2004-03-12,265,182
"438",2004-03-13,293,176
"439",2004-03-14,229,113
"440",2004-03-15,189,100
"441",2004-03-16,252,170
"442",2004-03-17,248,226
"443",2004-03-18,266,150
"444",2004-03-19,247,176
"445",2004-03-20,278,118
"446",2004-03-21,271,138
"447",2004-03-22,220,168
"448",2004-03-23,258,152
"449",2004-03-24,218,206
"450",2004-03-25,279,202
"451",2004-03-26,226,123
"452",2004-03-27,278,163
"453",2004-03-28,220,171
"454",2004-03-29,234,157
"455",2004-03-30,198,213
"456",2004-03-31,240,168
"457",2004-04-01,287,217
"458",2004-04-02,286,216
"459",2004-04-03,289,236
"460",2004-04-04,201,144
"461",2004-04-05,230,192
"462",2004-04-06,225,162
"463",2004-04-07,249,156
"464",2004-04-08,224,207
"465",2004-04-09,226,168
"466",2004-04-10,318,137
"467",2004-04-11,248,116
"468",2004-04-12,232,133
"469",2004-04-13,234,139
"470",2004-04-14,225,165
"471",2004-04-15,266,163
"472",2004-04-16,241,168
"473",2004-04-17,290,208
"474",2004-04-18,264,195
"475",2004-04-19,235,174
"476",2004-04-20,213,161
"477",2004-04-21,226,166
"478",2004-04-22,239,148
"479",2004-04-23,252,128
"480",2004-04-24,300,247
"481",2004-04-25,256,217
"482",2004-04-26,244,192
"483",2004-04-27,224,180
"484",2004-04-28,260,188
"485",2004-04-29,238,189
"486",2004-04-30,254,198
"487",2004-05-01,305,167
"488",2004-05-02,278,158
"489",2004-05-03,244,118
"490",2004-05-04,245,173
"491",2004-05-05,264,156
"492",2004-05-06,267,168
"493",2004-05-07,251,197
"494",2004-05-08,276,195
"495",2004-05-09,237,168
"496",2004-05-10,234,133
"497",2004-05-11,232,183
"498",2004-05-12,224,249
"499",2004-05-13,234,196
"500",2004-05-14,248,184
"501",2004-05-15,244,186
"502",2004-05-16,290,115
"503",2004-05-17,274,122
"504",2004-05-18,259,179
"505",2004-05-19,243,208
"506",2004-05-20,226,239
"507",2004-05-21,252,174
"508",2004-05-22,266,220
"509",2004-05-23,302,176
"510",2004-05-24,220,163
"511",2004-05-25,251,149
"512",2004-05-26,249,212
"513",2004-05-27,237,233
"514",2004-05-28,228,191
"515",2004-05-29,248,203
"516",2004-05-30,220,183
"517",2004-05-31,264,151
"518",2004-06-01,282,178
"519",2004-06-02,256,160
"520",2004-06-03,264,223
"521",2004-06-04,228,195
"522",2004-06-05,236,182
"523",2004-06-06,240,147
"524",2004-06-07,211,104
"525",2004-06-08,242,133
"526",2004-06-09,253,213
"527",2004-06-10,254,150
"528",2004-06-11,264,167
"529",2004-06-12,253,115
"530",2004-06-13,268,132
"531",2004-06-14,266,123
"532",2004-06-15,274,155
"533",2004-06-16,254,139
"534",2004-06-17,210,140
"535",2004-06-18,239,145
"536",2004-06-19,264,240
"537",2004-06-20,264,186
"538",2004-06-21,231,112
"539",2004-06-22,224,134
"540",2004-06-23,215,160
"541",2004-06-24,234,208
"542",2004-06-25,241,143
"543",2004-06-26,246,199
"544",2004-06-27,277,137
"545",2004-06-28,280,115
"546",2004-06-29,241,196
"547",2004-06-30,269,150
"548",2004-07-01,279,124
"549",2004-07-02,265,140
"550",2004-07-03,273,151
"551",2004-07-04,265,171
"552",2004-07-05,249,163
"553",2004-07-06,254,142
"554",2004-07-07,281,172
"555",2004-07-08,255,165
"556",2004-07-09,245,201
"557",2004-07-10,253,167
"558",2004-07-11,214,164
"559",2004-07-12,223,148
"560",2004-07-13,213,163
"561",2004-07-14,225,225
"562",2004-07-15,244,152
"563",2004-07-16,287,142
"564",2004-07-17,262,168
"565",2004-07-18,247,130
"566",2004-07-19,240,173
"567",2004-07-20,246,140
"568",2004-07-21,252,142
"569",2004-07-22,221,165
"570",2004-07-23,254,162
"571",2004-07-24,260,178
"572",2004-07-25,258,158
"573",2004-07-26,211,129
"574",2004-07-27,256,162
"575",2004-07-28,244,153
"576",2004-07-29,226,176
"577",2004-07-30,254,129
"578",2004-07-31,244,128
"579",2004-08-01,245,129
"580",2004-08-02,261,138
"581",2004-08-03,248,174
"582",2004-08-04,231,223
"583",2004-08-05,222,151
"584",2004-08-06,258,139
"585",2004-08-07,274,176
"586",2004-08-08,220,129
"587",2004-08-09,178,159
"588",2004-08-10,231,120
"589",2004-08-11,275,187
"590",2004-08-12,251,181
"591",2004-08-13,267,113
"592",2004-08-14,276,129
"593",2004-08-15,237,134
"594",2004-08-16,240,143
"595",2004-08-17,251,145
"596",2004-08-18,256,146
"597",2004-08-19,239,204
"598",2004-08-20,286,185
"599",2004-08-21,307,142
"600",2004-08-22,223,119
"601",2004-08-23,247,141
"602",2004-08-24,218,189
"603",2004-08-25,224,159
"604",2004-08-26,263,181
"605",2004-08-27,246,165
"606",2004-08-28,274,185
"607",2004-08-29,248,139
"608",2004-08-30,233,145
"609",2004-08-31,232,118
"610",2004-09-01,280,192
"611",2004-09-02,244,171
"612",2004-09-03,262,131
"613",2004-09-04,288,149
"614",2004-09-05,221,121
"615",2004-09-06,214,105
"616",2004-09-07,236,115
"617",2004-09-08,252,136
"618",2004-09-09,226,168
"619",2004-09-10,262,147
"620",2004-09-11,252,117
"621",2004-09-12,239,123
"622",2004-09-13,247,124
"623",2004-09-14,226,155
"624",2004-09-15,252,153
"625",2004-09-16,238,209
"626",2004-09-17,258,167
"627",2004-09-18,298,133
"628",2004-09-19,239,97
"629",2004-09-20,207,125
"630",2004-09-21,227,110
"631",2004-09-22,241,136
"632",2004-09-23,283,134
"633",2004-09-24,283,163
"634",2004-09-25,287,182
"635",2004-09-26,249,165
"636",2004-09-27,226,148
"637",2004-09-28,208,150
"638",2004-09-29,260,173
"639",2004-09-30,238,186
"640",2004-10-01,261,140
"641",2004-10-02,277,114
"642",2004-10-03,235,116
"643",2004-10-04,238,114
"644",2004-10-05,228,169
"645",2004-10-06,208,130
"646",2004-10-07,258,190
"647",2004-10-08,205,177
"648",2004-10-09,281,139
"649",2004-10-10,267,100
"650",2004-10-11,214,129
"651",2004-10-12,220,175
"652",2004-10-13,238,167
"653",2004-10-14,269,170
"654",2004-10-15,261,133
"655",2004-10-16,286,132
"656",2004-10-17,273,140
"657",2004-10-18,194,108
"658",2004-10-19,273,110
"659",2004-10-20,270,132
"660",2004-10-21,248,179
"661",2004-10-22,254,148
"662",2004-10-23,281,145
"663",2004-10-24,219,127
"664",2004-10-25,212,162
"665",2004-10-26,220,146
"666",2004-10-27,244,139
"667",2004-10-28,222,171
"668",2004-10-29,247,177
"669",2004-10-30,290,155
"670",2004-10-31,290,121
"671",2004-11-01,363,144
"672",2004-11-02,202,169
"673",2004-11-03,245,145
"674",2004-11-04,232,109
"675",2004-11-05,240,125
"676",2004-11-06,280,147
"677",2004-11-07,237,134
"678",2004-11-08,228,131
"679",2004-11-09,226,104
"680",2004-11-10,212,113
"681",2004-11-11,226,131
"682",2004-11-12,247,171
"683",2004-11-13,274,130
"684",2004-11-14,264,118
"685",2004-11-15,283,115
"686",2004-11-16,220,109
"687",2004-11-17,238,154
"688",2004-11-18,229,111
"689",2004-11-19,256,117
"690",2004-11-20,291,115
"691",2004-11-21,258,97
"692",2004-11-22,229,118
"693",2004-11-23,224,142
"694",2004-11-24,257,127
"695",2004-11-25,230,126
"696",2004-11-26,195,88
"697",2004-11-27,229,129
"698",2004-11-28,252,114
"699",2004-11-29,185,122
"700",2004-11-30,232,171
"701",2004-12-01,250,172
"702",2004-12-02,253,145
"703",2004-12-03,245,149
"704",2004-12-04,295,109
"705",2004-12-05,282,104
"706",2004-12-06,239,92
"707",2004-12-07,237,92
"708",2004-12-08,249,112
"709",2004-12-09,260,105
"710",2004-12-10,250,147
"711",2004-12-11,223,159
"712",2004-12-12,294,91
"713",2004-12-13,224,119
"714",2004-12-14,259,129
"715",2004-12-15,289,176
"716",2004-12-16,267,199
"717",2004-12-17,258,137
"718",2004-12-18,249,137
"719",2004-12-19,246,119
"720",2004-12-20,242,119
"721",2004-12-21,220,135
"722",2004-12-22,257,149
"723",2004-12-23,250,148
"724",2004-12-24,236,147
"725",2004-12-25,210,95
"726",2004-12-26,173,81
"727",2004-12-27,164,90
"728",2004-12-28,200,112
"729",2004-12-29,281,102
"730",2004-12-30,212,149
"731",2004-12-31,242,92
"732",2005-01-01,443,161
"733",2005-01-02,223,115
"734",2005-01-03,218,115
"735",2005-01-04,215,113
"736",2005-01-05,245,145
"737",2005-01-06,223,162
"738",2005-01-07,258,135
"739",2005-01-08,274,127
"740",2005-01-09,233,103
"741",2005-01-10,235,153
"742",2005-01-11,218,126
"743",2005-01-12,286,204
"744",2005-01-13,265,192
"745",2005-01-14,241,176
"746",2005-01-15,264,139
"747",2005-01-16,268,164
"748",2005-01-17,213,143
"749",2005-01-18,234,136
"750",2005-01-19,235,171
"751",2005-01-20,294,176
"752",2005-01-21,280,133
"753",2005-01-22,284,145
"754",2005-01-23,277,126
"755",2005-01-24,227,119
"756",2005-01-25,236,131
"757",2005-01-26,232,135
"758",2005-01-27,257,152
"759",2005-01-28,249,157
"760",2005-01-29,297,118
"761",2005-01-30,274,153
"762",2005-01-31,228,129
"763",2005-02-01,307,181
"764",2005-02-02,274,170
"765",2005-02-03,263,187
"766",2005-02-04,218,187
"767",2005-02-05,317,146
"768",2005-02-06,203,132
"769",2005-02-07,206,100
"770",2005-02-08,199,165
"771",2005-02-09,243,139
"772",2005-02-10,244,194
"773",2005-02-11,228,142
"774",2005-02-12,261,142
"775",2005-02-13,215,125
"776",2005-02-14,239,123
"777",2005-02-15,243,96
"778",2005-02-16,235,134
"779",2005-02-17,242,175
"780",2005-02-18,240,159
"781",2005-02-19,224,137
"782",2005-02-20,191,112
"783",2005-02-21,237,97
"784",2005-02-22,190,158
"785",2005-02-23,230,152
"786",2005-02-24,224,176
"787",2005-02-25,241,184
"788",2005-02-26,287,120
"789",2005-02-27,222,140
"790",2005-02-28,189,124
"791",2005-03-01,264,154
"792",2005-03-02,244,182
"793",2005-03-03,230,226
"794",2005-03-04,229,182
"795",2005-03-05,247,158
"796",2005-03-06,224,152
"797",2005-03-07,223,156
"798",2005-03-08,200,128
"799",2005-03-09,232,148
"800",2005-03-10,249,205
"801",2005-03-11,224,158
"802",2005-03-12,266,167
"803",2005-03-13,225,142
"804",2005-03-14,219,126
"805",2005-03-15,217,123
"806",2005-03-16,305,163
"807",2005-03-17,222,168
"808",2005-03-18,275,143
"809",2005-03-19,276,94
"810",2005-03-20,254,109
"811",2005-03-21,243,156
"812",2005-03-22,270,109
"813",2005-03-23,228,149
"814",2005-03-24,276,177
"815",2005-03-25,223,165
"816",2005-03-26,235,144
"817",2005-03-27,287,122
"818",2005-03-28,195,105
"819",2005-03-29,257,125
"820",2005-03-30,255,165
"821",2005-03-31,227,165
"822",2005-04-01,270,160
"823",2005-04-02,236,129
"824",2005-04-03,252,153
"825",2005-04-04,209,142
"826",2005-04-05,222,154
"827",2005-04-06,269,177
"828",2005-04-07,237,189
"829",2005-04-08,256,147
"830",2005-04-09,282,124
"831",2005-04-10,272,115
"832",2005-04-11,231,105
"833",2005-04-12,258,174
"834",2005-04-13,265,173
"835",2005-04-14,247,158
"836",2005-04-15,267,169
"837",2005-04-16,278,124
"838",2005-04-17,235,117
"839",2005-04-18,215,125
"840",2005-04-19,225,138
"841",2005-04-20,226,154
"842",2005-04-21,243,166
"843",2005-04-22,235,175
"844",2005-04-23,307,145
"845",2005-04-24,238,147
"846",2005-04-25,242,175
"847",2005-04-26,194,155
"848",2005-04-27,255,172
"849",2005-04-28,240,166
"850",2005-04-29,271,207
"851",2005-04-30,238,162
"852",2005-05-01,270,116
"853",2005-05-02,250,126
"854",2005-05-03,234,144
"855",2005-05-04,237,136
"856",2005-05-05,232,139
"857",2005-05-06,295,152
"858",2005-05-07,278,118
"859",2005-05-08,277,157
"860",2005-05-09,248,117
"861",2005-05-10,232,127
"862",2005-05-11,240,178
"863",2005-05-12,228,166
"864",2005-05-13,265,166
"865",2005-05-14,254,152
"866",2005-05-15,268,111
"867",2005-05-16,276,132
"868",2005-05-17,233,137
"869",2005-05-18,256,131
"870",2005-05-19,270,153
"871",2005-05-20,286,146
"872",2005-05-21,282,150
"873",2005-05-22,322,103
"874",2005-05-23,205,125
"875",2005-05-24,244,113
"876",2005-05-25,267,137
"877",2005-05-26,243,145
"878",2005-05-27,252,131
"879",2005-05-28,325,138
"880",2005-05-29,219,135
"881",2005-05-30,264,153
"882",2005-05-31,231,164
"883",2005-06-01,285,162
"884",2005-06-02,303,143
"885",2005-06-03,247,151
"886",2005-06-04,281,146
"887",2005-06-05,235,90
"888",2005-06-06,229,93
"889",2005-06-07,205,121
"890",2005-06-08,259,130
"891",2005-06-09,241,105
"892",2005-06-10,289,150
"893",2005-06-11,267,142
"894",2005-06-12,257,105
"895",2005-06-13,254,126
"896",2005-06-14,222,110
"897",2005-06-15,230,158
"898",2005-06-16,214,138
"899",2005-06-17,216,130
"900",2005-06-18,265,152
"901",2005-06-19,268,115
"902",2005-06-20,216,116
"903",2005-06-21,258,145
"904",2005-06-22,224,132
"905",2005-06-23,223,151
"906",2005-06-24,216,238
"907",2005-06-25,285,151
"908",2005-06-26,262,160
"909",2005-06-27,260,186
"910",2005-06-28,228,138
"911",2005-06-29,258,179
"912",2005-06-30,210,144
"913",2005-07-01,344,149
"914",2005-07-02,291,136
"915",2005-07-03,216,124
"916",2005-07-04,227,135
"917",2005-07-05,259,132
"918",2005-07-06,241,171
"919",2005-07-07,196,150
"920",2005-07-08,237,154
"921",2005-07-09,282,146
"922",2005-07-10,243,108
"923",2005-07-11,230,144
"924",2005-07-12,213,124
"925",2005-07-13,239,144
"926",2005-07-14,242,174
"927",2005-07-15,296,150
"928",2005-07-16,261,114
"929",2005-07-17,234,111
"930",2005-07-18,246,103
"931",2005-07-19,262,108
"932",2005-07-20,231,116
"933",2005-07-21,268,137
"934",2005-07-22,270,147
"935",2005-07-23,311,145
"936",2005-07-24,256,98
"937",2005-07-25,223,127
"938",2005-07-26,235,116
"939",2005-07-27,253,126
"940",2005-07-28,252,167
"941",2005-07-29,241,117
"942",2005-07-30,273,125
"943",2005-07-31,239,118
"944",2005-08-01,269,158
"945",2005-08-02,270,155
"946",2005-08-03,234,130
"947",2005-08-04,237,161
"948",2005-08-05,283,159
"949",2005-08-06,305,138
"950",2005-08-07,258,131
"951",2005-08-08,220,126
"952",2005-08-09,241,152
"953",2005-08-10,229,147
"954",2005-08-11,260,175
"955",2005-08-12,252,123
"956",2005-08-13,256,145
"957",2005-08-14,260,111
"958",2005-08-15,202,152
"959",2005-08-16,221,139
"960",2005-08-17,227,136
"961",2005-08-18,254,123
"962",2005-08-19,229,153
"963",2005-08-20,260,138
"964",2005-08-21,265,108
"965",2005-08-22,245,148
"966",2005-08-23,250,127
"967",2005-08-24,259,155
"968",2005-08-25,258,144
"969",2005-08-26,251,125
"970",2005-08-27,309,143
"971",2005-08-28,242,116
"972",2005-08-29,247,97
"973",2005-08-30,275,128
"974",2005-08-31,252,141
"975",2005-09-01,272,181
"976",2005-09-02,252,160
"977",2005-09-03,271,169
"978",2005-09-04,254,92
"979",2005-09-05,204,92
"980",2005-09-06,196,159
"981",2005-09-07,192,157
"982",2005-09-08,205,184
"983",2005-09-09,238,172
"984",2005-09-10,271,140
"985",2005-09-11,275,77
"986",2005-09-12,245,95
"987",2005-09-13,242,152
"988",2005-09-14,236,135
"989",2005-09-15,220,140
"990",2005-09-16,258,159
"991",2005-09-17,305,158
"992",2005-09-18,238,88
"993",2005-09-19,217,122
"994",2005-09-20,243,177
"995",2005-09-21,189,186
"996",2005-09-22,251,172
"997",2005-09-23,275,167
